# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\Manjikian\Documents\NARAIG\TEACHING\ELEC271_F2014\LAB5\hex_display_pin_assignments.csv
# Generated on: Sat Nov 01 18:20:53 2014

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
hex_d0[6],Output,PIN_F13,7,B7_N1,PIN_AB10,,,,,
hex_d0[5],Output,PIN_F12,7,B7_N1,PIN_V11,,,,,
hex_d0[4],Output,PIN_G12,7,B7_N1,PIN_AA8,,,,,
hex_d0[3],Output,PIN_H13,7,B7_N1,PIN_U11,,,,,
hex_d0[2],Output,PIN_H12,7,B7_N1,PIN_T10,,,,,
hex_d0[1],Output,PIN_F11,7,B7_N1,PIN_AB8,,,,,
hex_d0[0],Output,PIN_E11,7,B7_N1,PIN_Y10,,,,,
hex_d1[6],Output,PIN_A15,7,B7_N1,PIN_AA10,,,,,
hex_d1[5],Output,PIN_E14,7,B7_N1,PIN_T11,,,,,
hex_d1[4],Output,PIN_B14,7,B7_N1,PIN_V10,,,,,
hex_d1[3],Output,PIN_A14,7,B7_N1,PIN_AA9,,,,,
hex_d1[2],Output,PIN_C13,7,B7_N1,PIN_W10,,,,,
hex_d1[1],Output,PIN_B13,7,B7_N1,PIN_AB7,,,,,
hex_d1[0],Output,PIN_A13,7,B7_N1,PIN_AB9,,,,,
hex_d2[6],Output,PIN_F14,7,B7_N0,PIN_V8,,,,,
hex_d2[5],Output,PIN_B17,7,B7_N1,PIN_AB3,,,,,
hex_d2[4],Output,PIN_A17,7,B7_N1,PIN_W8,,,,,
hex_d2[3],Output,PIN_E15,7,B7_N0,PIN_AA5,,,,,
hex_d2[2],Output,PIN_B16,7,B7_N1,PIN_AB5,,,,,
hex_d2[1],Output,PIN_A16,7,B7_N1,PIN_U9,,,,,
hex_d2[0],Output,PIN_D15,7,B7_N0,PIN_AB4,,,,,
hex_d3[6],Output,PIN_G15,7,B7_N0,PIN_W7,,,,,
hex_d3[5],Output,PIN_D19,7,B7_N0,PIN_Y8,,,,,
hex_d3[4],Output,PIN_C19,7,B7_N0,PIN_V7,,,,,
hex_d3[3],Output,PIN_B19,7,B7_N0,PIN_AA7,,,,,
hex_d3[2],Output,PIN_A19,7,B7_N0,PIN_AA4,,,,,
hex_d3[1],Output,PIN_F15,7,B7_N0,PIN_Y7,,,,,
hex_d3[0],Output,PIN_B18,7,B7_N0,PIN_W6,,,,,

